"vehicle_id","year","make","model","description","body_style","drivetrain","mileage.value","mileage.unit","URL","title","price","state_of_vehicle","exterior_color","address.addr1","address.city","address.region","address.country","latitude","longitude","sale_price","image[0].url","fuel_type","transmission","custom_label_0"
"32293","2021","Mazda","CX-5","2021 Mazda CX-5 25S L PACKAGE AUTO 2.5L 5 DOOR","SUV","","28640","KM","https://www.4guys.co.nz/vehicle-details?id=3410139","2021 Mazda CX-5 25S L PACKAGE AUTO 2.5L 5 DOOR","34800 NZD","USED","Grey","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=82851466&w=500&h=375&l=true","Petrol","Automatic","$20k-$40k"
"32298","2015","Holden","Captiva","2015 Holden Captiva LTZ 2.2D AWD 7 Seater AUTO 2.2L TURBO DIESEL 5 DOOR","SUV","4WD","79223","KM","https://www.4guys.co.nz/vehicle-details?id=3410142","2015 Holden Captiva LTZ 2.2D AWD 7 Seater AUTO 2.2L TURBO DIESEL 5 DOOR","18950 NZD","USED","Black","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=82514805&w=500&h=375&l=true","Diesel","Automatic","Under $20k"
"32310","2018","Holden","Barina","2018 Holden Barina LS 1.6L HATCH BACK AUTO 5 DOOR (NZ NEW)","Hatchback","","63290","KM","https://www.4guys.co.nz/vehicle-details?id=3413040","2018 Holden Barina LS 1.6L HATCH BACK AUTO 5 DOOR (NZ NEW)","13800 NZD","USED","Black","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=82674297&w=500&h=375&l=true","Petrol","Automatic","Under $20k"
"32322","2014","Mercedes-Benz","A 180","2014 Mercedes-Benz A 180 SPORT HATCH BACK AUTO 1.6L TURBO 5 DOOR","Hatchback","","74060","KM","https://www.4guys.co.nz/vehicle-details?id=3418960","2014 Mercedes-Benz A 180 SPORT HATCH BACK AUTO 1.6L TURBO 5 DOOR","17800 NZD","USED","White","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=83725282&w=500&h=375&l=true","Petrol","Automatic","Under $20k"
"32323","2014","Mercedes-Benz","A 180","2014 Mercedes-Benz A 180 SPORT HATCH BACK AUTO 1.6L TURBO 5 DOOR","Hatchback","","64045","KM","https://www.4guys.co.nz/vehicle-details?id=3418961","2014 Mercedes-Benz A 180 SPORT HATCH BACK AUTO 1.6L TURBO 5 DOOR","19800 NZD","USED","Black","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=83889771&w=500&h=375&l=true","Petrol","Automatic","Under $20k"
"32337","2016","Mercedes-Benz","A 180","2016 Mercedes-Benz A 180 AMG SPORT AUTO 1.6L TURBO 5 DOOR HATCH BACK","Hatchback","","48510","KM","https://www.4guys.co.nz/vehicle-details?id=3421583","2016 Mercedes-Benz A 180 AMG SPORT AUTO 1.6L TURBO 5 DOOR HATCH BACK","21800 NZD","USED","White","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=83725501&w=500&h=375&l=true","Petrol","Automatic","$20k-$40k"
"32339","2023","Mazda","CX-60","2023 Mazda CX-60 XD HYBRID EXCLUSIVE 4WD AUTO 3.3L TURBO DIESEL 5 DOOR","SUV","4WD","20156","KM","https://www.4guys.co.nz/vehicle-details?id=3421585","2023 Mazda CX-60 XD HYBRID EXCLUSIVE 4WD AUTO 3.3L TURBO DIESEL 5 DOOR","52800 NZD","USED","White","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=83723361&w=500&h=375&l=true","Hybrid","Automatic","$40k-$80k"
"32361","2015","BMW","320i","2015 BMW 320i SEDAN M SPORT AUTO 2.0L TURBO","Sedan","","47200","KM","https://www.4guys.co.nz/vehicle-details?id=3429281","2015 BMW 320i SEDAN M SPORT AUTO 2.0L TURBO","26800 NZD","USED","White","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=97112675&w=500&h=375&l=true","Petrol","Automatic","$20k-$40k"
"32369","2015","Mercedes-Benz","A 180","2015 Mercedes-Benz A 180 SPORT HATCH BACK AUTO 1.6L TURBO 5 DOOR","Hatchback","","46930","KM","https://www.4guys.co.nz/vehicle-details?id=3429607","2015 Mercedes-Benz A 180 SPORT HATCH BACK AUTO 1.6L TURBO 5 DOOR","19800 NZD","USED","Black","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=83724940&w=500&h=375&l=true","Petrol","Automatic","Under $20k"
"32414","2021","Renault","Koleos","2021 Renault Koleos ZEN SPORT 2.5L AUTO 2.5L 5 DOOR (NZ NEW)","SUV","","52652","KM","https://www.4guys.co.nz/vehicle-details?id=3439506","2021 Renault Koleos ZEN SPORT 2.5L AUTO 2.5L 5 DOOR (NZ NEW)","32800 NZD","USED","Grey","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=97981686&w=500&h=375&l=true","Petrol","Automatic","$20k-$40k"
"32436","2020","Mazda","CX-5","2020 Mazda CX-5 25S L PACKAGE 2WD AUTO 2.5L 5 DOOR","SUV","","27845","KM","https://www.4guys.co.nz/vehicle-details?id=3445087","2020 Mazda CX-5 25S L PACKAGE 2WD AUTO 2.5L 5 DOOR","35800 NZD","USED","Grey","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=97114155&w=500&h=375&l=true","Petrol","Automatic","$20k-$40k"
"32457","2017","Holden","Captiva","2017 Holden Captiva LTZ 7 SEATER DIESEL AUTO 2.2L TURBO 5 DOOR 4WD","SUV","4WD","117540","KM","https://www.4guys.co.nz/vehicle-details?id=3450875","2017 Holden Captiva LTZ 7 SEATER DIESEL AUTO 2.2L TURBO 5 DOOR 4WD","18950 NZD","USED","Silver","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=83391668&w=500&h=375&l=true","Diesel","Automatic","Under $20k"
