"vehicle_id","title","description","url","make","model","year","mileage.value","mileage.unit","image_link","transmission","body_style","drivetrain","price","exterior_color","state_of_vehicle","fuel_type","sale_price","availability","vehicle_type","address.addr1","address.city","address.region","address.country","latitude","longitude","dealer_name"
"32339","2023 Mazda Cx-60 Xd Hybrid Exclusive 4WD Auto 3.3L Turbo Diesel 5 Door","2023 Mazda Cx-60 Xd Hybrid Exclusive 4WD Auto 3.3L Turbo Diesel 5 Door","https://www.4guys.co.nz/vehicle-details?id=3421585","Mazda","CX-60","2023","20156","KM","https://data.autoplay.co.nz/image.ashx?id=83723361&w=800&h=600&l=true","Automatic","SUV","4X4","52800 NZD","White","Used","HYBRID","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32361","2015 Bmw 320i Sedan M Sport Auto 2.0L Turbo","2015 Bmw 320i Sedan M Sport Auto 2.0L Turbo","https://www.4guys.co.nz/vehicle-details?id=3429281","BMW","320i","2015","47200","KM","https://data.autoplay.co.nz/image.ashx?id=97112675&w=800&h=600&l=true","Automatic","SEDAN","","26800 NZD","White","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32369","2015 Mercedes-Benz A 180 Sport Hatch Back Auto 1.6L Turbo 5 Door","2015 Mercedes-Benz A 180 Sport Hatch Back Auto 1.6L Turbo 5 Door","https://www.4guys.co.nz/vehicle-details?id=3429607","Mercedes-Benz","A 180","2015","46930","KM","https://data.autoplay.co.nz/image.ashx?id=83724940&w=800&h=600&l=true","Automatic","HATCHBACK","","19800 NZD","Black","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32414","2021 Renault Koleos Zen Sport 2.5L Auto 2.5L 5 Door (NZ New)","2021 Renault Koleos Zen Sport 2.5L Auto 2.5L 5 Door (NZ New)","https://www.4guys.co.nz/vehicle-details?id=3439506","Renault","Koleos","2021","52652","KM","https://data.autoplay.co.nz/image.ashx?id=97981686&w=800&h=600&l=true","Automatic","SUV","","32800 NZD","Grey","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32436","2020 Mazda Cx-5 25S L Package 2WD Auto 2.5L 5 Door","2020 Mazda Cx-5 25S L Package 2WD Auto 2.5L 5 Door","https://www.4guys.co.nz/vehicle-details?id=3445087","Mazda","CX-5","2020","27845","KM","https://data.autoplay.co.nz/image.ashx?id=97114155&w=800&h=600&l=true","Automatic","SUV","","35800 NZD","Grey","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32457","2017 Holden Captiva Ltz 7 Seater Diesel Auto 2.2L Turbo 5 Door 4WD","2017 Holden Captiva Ltz 7 Seater Diesel Auto 2.2L Turbo 5 Door 4WD","https://www.4guys.co.nz/vehicle-details?id=3450875","Holden","Captiva","2017","117540","KM","https://data.autoplay.co.nz/image.ashx?id=83391668&w=800&h=600&l=true","Automatic","SUV","4X4","18950 NZD","Silver","Used","DIESEL","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32470","2018 Holden Trax Lt (NZ New) Facelift Auto 1.4L Turbo 5 Door","2018 Holden Trax Lt (NZ New) Facelift Auto 1.4L Turbo 5 Door","https://www.4guys.co.nz/vehicle-details?id=3454478","Holden","Trax","2018","90320","KM","https://data.autoplay.co.nz/image.ashx?id=92420080&w=800&h=600&l=true","Automatic","SUV","","16800 NZD","Black","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32472","2020 Volkswagen Tiguan Auto Allspace Tsi 2.0L Turbo 7Sts 4WD","2020 Volkswagen Tiguan Auto Allspace Tsi 2.0L Turbo 7Sts 4WD","https://www.4guys.co.nz/vehicle-details?id=3454960","Volkswagen","Tiguan","2020","56780","KM","https://data.autoplay.co.nz/image.ashx?id=83576240&w=800&h=600&l=true","Automatic","SUV","4X4","39800 NZD","Black","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32474","2015 Audi A4 Avant 2.0L Tfsi S-Line Auto 5 Door 2WD","2015 Audi A4 Avant 2.0L Tfsi S-Line Auto 5 Door 2WD","https://www.4guys.co.nz/vehicle-details?id=3456823","Audi","A4","2015","57628","KM","https://data.autoplay.co.nz/image.ashx?id=89311323&w=800&h=600&l=true","Automatic","OTHER","","24800 NZD","Black","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32434","2021 Subaru Xv 2.0E-L Eyesight (Hybrid) Auto 2.0L 5 Door 4WD","2021 Subaru Xv 2.0E-L Eyesight (Hybrid) Auto 2.0L 5 Door 4WD","https://www.4guys.co.nz/vehicle-details?id=3460153","Subaru","XV","2021","47910","KM","https://data.autoplay.co.nz/image.ashx?id=83383982&w=800&h=600&l=true","Automatic","OTHER","4X4","29950 NZD","White","Used","HYBRID","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
