ID,ID2,Item title,Final URL,Image URL,Item subtitle,Item description,Item category,Price,Sale price,Contextual keywords,Item address,Tracking template,Custom parameter,Final mobile URL,Android app link,iOS app link,iOS app store ID,Formatted price,Formatted sale price
32457,,2017 Holden Captiva,https://www.4guys.co.nz/vehicle-details?id=3450875,https://dataapi.autoplay.co.nz/image.ashx?id=83391668&w=500&h=375&l=true,"117,540 km",2017 Holden Captiva Ltz 7 Seater Diesel Auto 2.2L Turbo 5 Door 4Wd,RV/SUV,18950.00 NZD,,Holden; Captiva; 2017; RV/SUV,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Holden;{_model}=Captiva;{_year}=2017,,,,,,
32470,,2018 Holden Trax,https://www.4guys.co.nz/vehicle-details?id=3454478,https://dataapi.autoplay.co.nz/image.ashx?id=92420080&w=500&h=375&l=true,"90,320 km",2018 Holden Trax Lt (NZ New) Facelift Auto 1.4L Turbo 5 Door,RV/SUV,16800.00 NZD,,Holden; Trax; 2018; RV/SUV,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Holden;{_model}=Trax;{_year}=2018,,,,,,
32472,,2020 Volkswagen Tiguan,https://www.4guys.co.nz/vehicle-details?id=3454960,https://dataapi.autoplay.co.nz/image.ashx?id=83576240&w=500&h=375&l=true,"56,780 km",2020 Volkswagen Tiguan Auto Allspace Tsi 2.0L Turbo 7Sts 4Wd,RV/SUV,39800.00 NZD,,Volkswagen; Tiguan; 2020; RV/SUV,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Volkswagen;{_model}=Tiguan;{_year}=2020,,,,,,
32474,,2015 Audi A4,https://www.4guys.co.nz/vehicle-details?id=3456823,https://dataapi.autoplay.co.nz/image.ashx?id=89311323&w=500&h=375&l=true,"57,628 km",2015 Audi A4 Avant 2.0L Tfsi S-Line Auto 5 Door 2Wd,Station Wagon,24800.00 NZD,,Audi; A4; 2015; Station Wagon,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Audi;{_model}=A4;{_year}=2015,,,,,,
32434,,2021 Subaru Xv,https://www.4guys.co.nz/vehicle-details?id=3460153,https://dataapi.autoplay.co.nz/image.ashx?id=83383982&w=500&h=375&l=true,"47,910 km",2021 Subaru Xv 2.0E-L Eyesight (Hybrid) Auto 2.0L 5 Door 4Wd,Station Wagon,29950.00 NZD,,Subaru; XV; 2021; Station Wagon,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Subaru;{_model}=XV;{_year}=2021,,,,,,
32496,,2020 Mazda Cx-3,https://www.4guys.co.nz/vehicle-details?id=3464251,https://dataapi.autoplay.co.nz/image.ashx?id=92420280&w=500&h=375&l=true,"27,670 km",2020 Mazda Cx-3 Lower Kit 2Wd Auto 2.0L 5 Door,RV/SUV,29800.00 NZD,27800.00 NZD,Mazda; CX-3; 2020; RV/SUV,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Mazda;{_model}=CX-3;{_year}=2020,,,,,,
32503,,2022 Mazda Cx-60,https://www.4guys.co.nz/vehicle-details?id=3464592,https://dataapi.autoplay.co.nz/image.ashx?id=92420152&w=500&h=375&l=true,"23,622 km",2022 Mazda Cx-60 Xd Hybrid Exclusive 4Wd Auto 3.3L Diesel Hybrid 5 Door,RV/SUV,52800.00 NZD,,Mazda; CX-60; 2022; RV/SUV,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Mazda;{_model}=CX-60;{_year}=2022,,,,,,
32508,,2018 Chevrolet Camaro,https://www.4guys.co.nz/vehicle-details?id=3467264,https://dataapi.autoplay.co.nz/image.ashx?id=83575600&w=500&h=375&l=true,"26,517 km",2018 Chevrolet Camaro 2Ss (2018) Auto 6.2L V8 (470hp) Coupe,Coupe,89800.00 NZD,,Chevrolet; Camaro; 2018; Coupe,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Chevrolet;{_model}=Camaro;{_year}=2018,,,,,,
32515,,2023 Lexus Is 500,https://www.4guys.co.nz/vehicle-details?id=3471729,https://dataapi.autoplay.co.nz/image.ashx?id=92928749&w=500&h=375&l=true,734 km,2023 Lexus Is 500 F Sport Performance Auto 5.0L V8 Sedan,Sedan,104800.00 NZD,99800.00 NZD,Lexus; IS 500; 2023; Sedan,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Lexus;{_model}=IS_500;{_year}=2023,,,,,,
32345,,2021 Ford F250,https://www.4guys.co.nz/vehicle-details?id=3477528,https://dataapi.autoplay.co.nz/image.ashx?id=83580403&w=500&h=375&l=true,"23,755 km",2021 Ford F250 Platinum Sd 4Wd Crewcab Auto 6.7L Turbo Diesel Utility,Utility,179800.00 NZD,,Ford; F250; 2021; Utility,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Ford;{_model}=F250;{_year}=2021,,,,,,
32526,,2017 Nissan Qashqai,https://www.4guys.co.nz/vehicle-details?id=3486622,https://dataapi.autoplay.co.nz/image.ashx?id=84316280&w=500&h=375&l=true,"124,452 km",2017 Nissan Qashqai St-L (NZ New) Auto 2.0L 5 Door 2Wd,RV/SUV,18950.00 NZD,,Nissan; Qashqai; 2017; RV/SUV,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Nissan;{_model}=Qashqai;{_year}=2017,,,,,,
32588,,2015 Audi A4,https://www.4guys.co.nz/vehicle-details?id=3498518,https://dataapi.autoplay.co.nz/image.ashx?id=94131651&w=500&h=375&l=true,"18,260 km",2015 Audi A4 Tfsi Sedan S Line Auto 2.0L Turbo 2Wd,Sedan,24800.00 NZD,,Audi; A4; 2015; Sedan,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Audi;{_model}=A4;{_year}=2015,,,,,,
32637,,2011 Audi A4,https://www.4guys.co.nz/vehicle-details?id=3524688,https://dataapi.autoplay.co.nz/image.ashx?id=97573899&w=500&h=375&l=true,"103,460 km",2011 Audi A4 Avant 1.8L Tfsi Auto 1.8L Turbo S/W,Station Wagon,12800.00 NZD,,Audi; A4; 2011; Station Wagon,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Audi;{_model}=A4;{_year}=2011,,,,,,
32647,,2019 Holden Astra,https://www.4guys.co.nz/vehicle-details?id=3527237,https://dataapi.autoplay.co.nz/image.ashx?id=90802728&w=500&h=375&l=true,"48,850 km",2019 Holden Astra Rs-V 1.6L 5 Door Auto Turbo Hatch Back,Hatchback,21800.00 NZD,,Holden; Astra; 2019; Hatchback,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Holden;{_model}=Astra;{_year}=2019,,,,,,
32684,,2009 Volkswagen Beetle,https://www.4guys.co.nz/vehicle-details?id=3545304,https://dataapi.autoplay.co.nz/image.ashx?id=97573001&w=500&h=375&l=true,"78,445 km",2009 Volkswagen Beetle 2.0L Hatch Back Auto 3 Door,Hatchback,11800.00 NZD,,Volkswagen; Beetle; 2009; Hatchback,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Volkswagen;{_model}=Beetle;{_year}=2009,,,,,,
32682,,2020 Mitsubishi Asx,https://www.4guys.co.nz/vehicle-details?id=3547867,https://dataapi.autoplay.co.nz/image.ashx?id=86288956&w=500&h=375&l=true,"122,150 km",2020 Mitsubishi Asx Ls 2.0L 2Wd (NZ New) Auto 5 Door,RV/SUV,18600.00 NZD,,Mitsubishi; ASX; 2020; RV/SUV,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Mitsubishi;{_model}=ASX;{_year}=2020,,,,,,
32746,,2019 Holden Astra,https://www.4guys.co.nz/vehicle-details?id=3565186,https://dataapi.autoplay.co.nz/image.ashx?id=86288613&w=500&h=375&l=true,"48,685 km",2019 Holden Astra Rs-V (NZ New) Auto 1.6L Turbo 5 Door,Hatchback,20800.00 NZD,,Holden; Astra; 2019; Hatchback,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Holden;{_model}=Astra;{_year}=2019,,,,,,
32751,,2019 Audi Q5,https://www.4guys.co.nz/vehicle-details?id=3565778,https://dataapi.autoplay.co.nz/image.ashx?id=88885039&w=500&h=375&l=true,"27,566 km",2019 Audi Q5 40Tdi Quattro S-Line Auto 2.0L Turbo Diesel 5 Door 4Wd,RV/SUV,44800.00 NZD,,Audi; Q5; 2019; RV/SUV,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Audi;{_model}=Q5;{_year}=2019,,,,,,
32789,,2017 Holden Barina,https://www.4guys.co.nz/vehicle-details?id=3582038,https://dataapi.autoplay.co.nz/image.ashx?id=87421666&w=500&h=375&l=true,"66,985 km",2017 Holden Barina Lt 1.6L Hatch Back Auto 5 Door (NZ New),Hatchback,14800.00 NZD,,Holden; Barina; 2017; Hatchback,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Holden;{_model}=Barina;{_year}=2017,,,,,,
32805,,2022 Suzuki Swift,https://www.4guys.co.nz/vehicle-details?id=3586747,https://dataapi.autoplay.co.nz/image.ashx?id=86776292&w=500&h=375&l=true,"37,656 km",2022 Suzuki Swift 1.3L Hatch Back 5 Speed Manual (NZ New),Hatchback,18950.00 NZD,,Suzuki; Swift; 2022; Hatchback,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Suzuki;{_model}=Swift;{_year}=2022,,,,,,
32820,,2018 Nissan X-Trail,https://www.4guys.co.nz/vehicle-details?id=3590410,https://dataapi.autoplay.co.nz/image.ashx?id=87421812&w=500&h=375&l=true,"23,940 km",2018 Nissan X-Trail St-L 7 Seater 2.5L Auto 5 Door 2Wd (NZ New),RV/SUV,28800.00 NZD,,Nissan; X-Trail; 2018; RV/SUV,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Nissan;{_model}=X-Trail;{_year}=2018,,,,,,
32842,,2019 Audi Q5,https://www.4guys.co.nz/vehicle-details?id=3602460,https://dataapi.autoplay.co.nz/image.ashx?id=90976357&w=500&h=375&l=true,"48,735 km",2019 Audi Q5 40Tdi Quattro S-Line Auto 2.0L Turbo Diesel 5 Door 4Wd,RV/SUV,42800.00 NZD,,Audi; Q5; 2019; RV/SUV,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Audi;{_model}=Q5;{_year}=2019,,,,,,
32912,,2019 Nissan Infiniti,https://www.4guys.co.nz/vehicle-details?id=3622059,https://dataapi.autoplay.co.nz/image.ashx?id=88295117&w=500&h=375&l=true,"107,615 km",2019 Nissan Infiniti Qx30 2.0L T 4Wd (NZ New) Auto 2.0L Turbo 5 Door,RV/SUV,17800.00 NZD,,Nissan; Infiniti; 2019; RV/SUV,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Nissan;{_model}=Infiniti;{_year}=2019,,,,,,
32934,,2017 Audi Q2,https://www.4guys.co.nz/vehicle-details?id=3634025,https://dataapi.autoplay.co.nz/image.ashx?id=89310259&w=500&h=375&l=true,"30,645 km",2017 Audi Q2 S-Line 1St Edition Auto 1.4L Turbo 5 Door 2Wd,RV/SUV,25800.00 NZD,,Audi; Q2; 2017; RV/SUV,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Audi;{_model}=Q2;{_year}=2017,,,,,,
32965,,2016 Ford Focus,https://www.4guys.co.nz/vehicle-details?id=3644350,https://dataapi.autoplay.co.nz/image.ashx?id=89502834&w=500&h=375&l=true,"111,390 km",2016 Ford Focus Titanium Hatch Back (NZ New) Auto 1.5L Turbo 5 Door,Hatchback,15800.00 NZD,,Ford; Focus; 2016; Hatchback,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Ford;{_model}=Focus;{_year}=2016,,,,,,
